"2013-04-01","Programming","Languages","Ruby","How do you print leading zeros?",,"source"
"2013-5-30","Computer Architecture","Memory",,"What is data placement? What is optimal data placement?","data placement refers to where the data sits in memory with relation to the processor. The more often that data can effectively be placed in memory local to the processor that needs it, the more overall access time will benefit from the architecture.",
"2013-5-30","Computer Architecture","Memory",,"What is processor affinity?","It comes up in NUMA, where memory is associated with processors. The problem is when a thread is moved to another processor, without the memory moving with it. Processor affinity means that processors do not lose the local memory they're working with.",
"2013-5-30","Computer Architecture","Memory",,"What is UMA? What is NUMA?","UMA is uniform memory access. NUMA is non-uniform memory access. in UMA, all processors access memory via a shared bus. in NUMA, each processor has its own memory block it can access, and can access other processors' memory blocks via a bus.",
"2013-05-31","Data Science","Bayesian Intro",,"Why did bayesian statistics fall out of favor, replaced with frequentist?","Because people could use different priors and get totally different results","DS notes, page 33"
"2013-05-30","Data Science","Effect size, Meta-Analysis, and Heteroskedasticity",,"If a 95% confidence interval of the effect size includes 0.0, what does this tell us?","This tells us that the p-value is less than 0.05, and hence not statistically significant.","DS notes, page 30"
"2013-05-30","Data Science","Effect size, Meta-Analysis, and Heteroskedasticity",,"What are the ways of averaging the effects of different experiments across studies? what is this called?","This is Meta-Analysis. We give more weight to more precise studies using either simple method (weight is determined by sample size) or the inverse-variance (weight is determined by variance of study)","DS notes, page 31"
"2013-05-30","Data Science","Effect size, Meta-Analysis, and Heteroskedasticity",,"What is heteroskedasticity?","When members of a population have differing amounts of variance.","DS notes, page 31"
"2013-05-30","Data Science","Effect size, Meta-Analysis, and Heteroskedasticity",,"What is the effect size?","Also known as Standard Mean Difference. It is the (mean of experimental group) - (mean of control group) / standard deviation","DS notes, page 30"
"2013-05-29","Data Science","Eventual Consistency",,"What are the phases of two-phase commit","1.action leading to commit occurs 2. master prepares 3. slaves write to logs 4. slaves respond with 'ready' 5. master sends commit command","DS notes, page 23"
"2013-05-29","Data Science","Eventual Consistency",,"What are the three qualities databases can have?","Consistency, Availability, and Partitioning. Consistency means all nodes have the same data, availability means the system can be interacted with in the presence of failures, partitioning means that if two parts of a system can't take to each other, can they make progress on their own?","DS notes, page 23"
"2013-05-30","Data Science","Fraud and Benford's Law",,"What is benford's law? How can it be used to detect fraud?","Fraud is done when data is created with a logistic regression function. Benford's law states that in any sample of a population, the numbers associated with each sample will have a 30% chance of having a first digit of 1. It's been shown that numbers generated with logistic regression do not follow this law. Data must span many orders of magnitude","DS notes, page 31"
